Date,Stock,Open,Close
2018-05-24,TCS,1574.89805704383,1616.940185546875
2018-05-25,TCS,1626.4975213170278,1608.908935546875
2018-05-28,TCS,1622.6836057486419,1571.3311767578125
2018-05-29,TCS,1583.8270096697165,1580.9554443359375
2018-05-30,TCS,1574.4720138868972,1576.7379150390625
2018-05-31,TCS,1569.0015346342293,1575.3807373046875
2018-06-01,TCS,1587.0984569725829,1567.5989990234375
2018-06-04,TCS,1578.9546347737432,1578.2760009765625
2018-06-05,TCS,1578.0500489706449,1557.781494140625
2018-06-06,TCS,1559.0482967663518,1561.53662109375
2018-06-07,TCS,1560.857770840223,1570.4039306640625
2018-06-08,TCS,1569.9061335110086,1580.854736328125
2018-06-11,TCS,1580.8549442251258,1583.20751953125
2018-06-12,TCS,1589.812891707937,1611.5291748046875
2018-06-13,TCS,1643.198973808988,1650.5281982421875
2018-06-14,TCS,1655.8664386718847,1617.455810546875
2018-06-15,TCS,1628.721354890541,1664.96044921875
2018-06-18,TCS,1690.2055913419133,1654.9619140625
2018-06-19,TCS,1648.7636505873295,1650.8900146484375
2018-06-20,TCS,1657.6763497261466,1649.0350341796875
2018-06-21,TCS,1657.6764164796098,1646.2301025390625
2018-06-22,TCS,1653.152529947291,1637.5892333984375
2018-06-25,TCS,1639.4890582343617,1646.1396484375
2018-06-26,TCS,1649.53256423324,1675.7730712890625
2018-06-27,TCS,1683.0118385865178,1681.2021484375
2018-06-28,TCS,1687.5361222671968,1667.3580322265625
2018-06-29,TCS,1669.3488257391223,1671.9276123046875
2018-07-02,TCS,1675.773230036491,1675.18505859375
2018-07-03,TCS,1682.9665715247145,1695.7249755859375
2018-07-04,TCS,1701.018279947477,1688.57666015625
2018-07-05,TCS,1694.7749573503752,1701.38037109375
2018-07-06,TCS,1703.6875252117418,1730.92333984375
2018-07-09,TCS,1740.922138977861,1703.823486328125
2018-07-10,TCS,1717.396271123304,1696.67529296875
2018-07-11,TCS,1719.2058974529236,1791.5030517578125
2018-07-12,TCS,1795.2129156813558,1783.7666015625
2018-07-13,TCS,1787.0690899738502,1792.588623046875
2018-07-16,TCS,1800.6417669487932,1799.9178466796875
2018-07-17,TCS,1803.3631788532018,1815.285888671875
2018-07-18,TCS,1817.8699067645841,1813.563232421875
2018-07-19,TCS,1815.240893154065,1796.472900390625
2018-07-20,TCS,1799.6461741173412,1810.254150390625
2018-07-23,TCS,1814.2435643082272,1818.4595947265625
2018-07-24,TCS,1826.9367474875132,1812.4300537109375
2018-07-25,TCS,1815.0592878358611,1796.563232421875
2018-07-26,TCS,1790.6244041883517,1781.3310546875
2018-07-27,TCS,1777.8403077071657,1762.3363037109375
2018-07-30,TCS,1761.6568964799671,1763.1075439453125
2018-07-31,TCS,1760.7500894356012,1759.1180419921875
2018-08-01,TCS,1767.9576989951809,1792.02978515625
